z=16cm,x_left,y_left,Lp,Ls,Lp(shrt),M,k,z=18cm,x_left,y_left,Lp,Ls,Lp(shrt),M,k,z=20cm,x_left,y_left,Lp,Ls,Lp(shrt),M,k
"6,5",32.08571429,41.81428571,214.887 ,156.473 ,214.878 ,1.186700046,0.006471667,"6,5",32.08571429,41.81428571,213.152,156.5,213.144,1.118928058,0.006126329,"6,5",32.08571429,41.81428571,212.841,156.5,212.838,0.685200701,0.003754335
"7,5",35.9,41.81428571,214.622 ,156.236 ,214.594 ,2.091556358,0.011421993,"7,5",35.9,41.81428571,212.904,156.5,212.881,1.89723483,0.010393744,"7,5",35.9,41.81428571,212.682,156.5,212.664,1.678392088,0.009199641
"8,5",39.71428571,41.81428571,213.821 ,155.833 ,213.763 ,3.006378885,0.016469819,"8,5",39.71428571,41.81428571,212.695,156.5,212.667,2.093322718,0.011473618,"8,5",39.71428571,41.81428571,212.437,156.5,212.421,1.582403236,0.008678505
"9,5",43.52857143,41.81428571,213.442 ,155.283 ,213.382 ,3.052372847,0.01676624,"9,5",43.52857143,41.81428571,212.49,156.5,212.46,2.166794868,0.01188205,"9,5",43.52857143,41.81428571,212.2,156.5,212.184,1.582403236,0.00868335
"0,6",9.2,46.75714286,215.029 ,155.966 ,214.987 ,2.559408525,0.013975782,"0,6",9.2,46.75714286,213.093,156.803,213.042,2.827888435,0.015470363,"0,6",9.2,46.75714286,212.919,156.704,212.869,2.799142726,0.015324199
"1,6",13.01428571,46.75714286,215.049 ,155.966 ,215.020 ,2.126737878,0.011612622,"1,6",13.01428571,46.75714286,213.027,156.803,212.982,2.656338646,0.014534126,"1,6",13.01428571,46.75714286,212.734,156.704,212.69,2.625828631,0.014381623
"2,6",16.82857143,46.75714286,215.051 ,155.966 ,215.044 ,1.044874155,0.005705297,"2,6",16.82857143,46.75714286,213.026,156.803,213.006,1.77089243,0.00968944,"2,6",16.82857143,46.75714286,212.708,156.704,212.689,1.725507462,0.009451155
"3,6",20.64285714,46.75714286,213.322 ,155.966 ,213.319 ,0.684030701,0.0037501,"3,6",20.64285714,46.75714286,213.07,156.803,213.065,0.885446215,0.00484422,"3,6",20.64285714,46.75714286,212.739,156.704,212.736,0.68564714,0.003755235
"4,6",24.45714286,46.75714286,215.197 ,155.966 ,215.183 ,1.477675201,0.008065771,"4,6",24.45714286,46.75714286,212.973,156.803,212.967,0.969957731,0.005307785,"4,6",24.45714286,46.75714286,212.642,156.704,212.64,0.559828545,0.003066835
"5,6",28.27142857,46.75714286,215.064 ,155.966 ,215.026 ,2.434483107,0.013292539,"5,6",28.27142857,46.75714286,212.821,156.803,212.797,1.939915462,0.010619361,"5,6",28.27142857,46.75714286,212.859,156.704,212.852,1.047343306,0.005734598
"6,6",32.08571429,46.75714286,214.874 ,155.966 ,214.806 ,3.25663753,0.01778945,"6,6",32.08571429,46.75714286,212.652,156.803,212.615,2.408674117,0.013190648,"6,6",32.08571429,46.75714286,212.645,156.704,212.625,1.770333302,0.009698117
"7,6",35.9,46.75714286,214.444 ,155.966 ,214.377 ,3.232602976,0.017675856,"7,6",35.9,46.75714286,212.44,156.803,212.386,2.909873193,0.015943319,"7,6",35.9,46.75714286,212.535,156.704,212.503,2.239314181,0.012270429
"8,6",39.71428571,46.75714286,214.229 ,155.966 ,214.171 ,3.00766155,0.016454128,"8,6",39.71428571,46.75714286,212.268,156.803,212.223,2.656338646,0.014560088,"8,6",39.71428571,46.75714286,212.351,156.704,212.319,2.239314181,0.012275744
"9,6",43.52857143,46.75714286,214.026 ,155.966 ,213.985 ,2.528755821,0.013840719,"9,6",43.52857143,46.75714286,212.116,156.803,212.082,2.308961238,0.012660555,"9,6",43.52857143,46.75714286,212.211,156.704,212.186,1.979292803,0.010853906
"0,7",9.2,51.7,213.216 ,156.661 ,213.208 ,1.119503461,0.006125409,"0,7",9.2,51.7,212.611,156.766,212.605,0.969843286,0.005312302,"0,7",9.2,51.7,212.572,156.644,212.57,0.559721359,0.00306734
"1,7",13.01428571,51.7,214.781 ,156.661 ,214.778 ,0.685553061,0.003737341,"1,7",13.01428571,51.7,212.595,156.766,212.592,0.685782764,0.003756506,"1,7",13.01428571,51.7,212.545,156.644,212.542,0.685515864,0.003756948
"2,7",16.82857143,51.7,214.816 ,156.661 ,214.807 ,1.187412734,0.006472737,"2,7",16.82857143,51.7,212.579,156.766,212.573,0.969843286,0.005312702,"2,7",16.82857143,51.7,212.555,156.644,212.552,0.685515864,0.00375686
"3,7",20.64285714,51.7,214.765 ,156.661 ,214.742 ,1.898210473,0.010348613,"3,7",20.64285714,51.7,213.005,156.766,213.001,0.791873727,0.004333463,"3,7",20.64285714,51.7,212.592,156.644,212.59,0.559721359,0.003067196
"4,7",24.45714286,51.7,214.654 ,156.661 ,214.609 ,2.65513559,0.01447894,"4,7",24.45714286,51.7,212.901,156.766,212.898,0.685782764,0.003753806,"4,7",24.45714286,51.7,212.489,156.644,212.471,1.679164078,0.009203818
"5,7",28.27142857,51.7,214.554 ,156.661 ,214.469 ,3.649134829,0.019904036,"5,7",28.27142857,51.7,212.856,156.766,212.837,1.725848777,0.009447869,"5,7",28.27142857,51.7,212.433,156.644,212.42,1.427015066,0.007822772
